Question,Participant,Response
Q19.2,6,https://www.conservationevidence.com/actions/3352
Q19.3_Click Count,6,2
Q19.3_First Click,6,65.228
Q19.3_Last Click,6,69.07
Q19.3_Page Submit,6,70.548
Q20.1,6,A. Stopping spraying and mowing increases northern pearl crescent abundance
Q20.2,6,https://www.conservationevidence.com/actions/3855
Q20.3_Click Count,6,3
Q20.3_First Click,6,113.969
Q20.3_Last Click,6,243.7
Q20.3_Page Submit,6,245.317
Q21.1,6,B. Flower patches may not increase bee populations in the wider landscape
Q21.2,6,https://www.conservationevidence.com/actions/17
Q21.3_Click Count,6,2
Q21.3_First Click,6,176.216
Q21.3_Last Click,6,177.346
Q21.3_Page Submit,6,178.742
Q22.1,6,D. The impacts of group-selection harvesting vary depending on specific forest characteristics and study locations
Q22.2,6,https://www.conservationevidence.com/actions/1224
Q22.3_Click Count,6,2
Q22.3_First Click,6,89.509
Q22.3_Last Click,6,90.288
Q22.3_Page Submit,6,94.32
Q23.1,6,A. Higher concentrations and higher temperatures
Q23.2,6,https://www.conservationevidence.com/actions/1118
Q23.3_Click Count,6,2
Q23.3_First Click,6,48.052
Q23.3_Last Click,6,58.095
Q23.3_Page Submit,6,59.305
Q24.1,6,C. Variable responses of different herb species
Q24.2,6,https://www.conservationevidence.com/actions/1779
Q24.3_Click Count,6,2
Q24.3_First Click,6,154.438
Q24.3_Last Click,6,191.229
Q24.3_Page Submit,6,192.646
Q25.1,6,A. Possible decrease in survival for some shark species
Q25.2,6,https://www.conservationevidence.com/actions/2699
Q25.3_Click Count,6,2
Q25.3_First Click,6,4774.118
Q25.3_Last Click,6,4778.112
Q25.3_Page Submit,6,4779.37
Q26.1,6,B. It either reduces or does not alter the density of sown forb species
Q26.2,6,https://www.conservationevidence.com/actions/3433
Q26.3_Click Count,6,2
Q26.3_First Click,6,95.89
Q26.3_Last Click,6,99.788
Q26.3_Page Submit,6,101.937
Q27.1,6,D. Increased plant diversity and species richness
Q27.2,6,https://www.conservationevidence.com/actions/594
Q27.3_Click Count,6,2
Q27.3_First Click,6,134.825
Q27.3_Last Click,6,142.588
Q27.3_Page Submit,6,144.005
Q28.1,6,D. Increasing both electrical pulse duration and voltage
Q28.2,6,https://www.conservationevidence.com/actions/1074
Q28.3_Click Count,6,2
Q28.3_First Click,6,65.387
Q28.3_Last Click,6,66.562
Q28.3_Page Submit,6,67.854
Q29.1,6,C. Mackerel
Q29.2,6,https://www.conservationevidence.com/actions/3612
Q29.3_Click Count,6,2
Q29.3_First Click,6,125.508
Q29.3_Last Click,6,129.119
Q29.3_Page Submit,6,130.629
Q30.1,6,D. Variably effective depending on the species of cleaner wrasse
Q30.2,6,https://www.conservationevidence.com/actions/738
Q30.3_Click Count,6,
Q30.3_First Click,6,
Q30.3_Last Click,6,
Q30.3_Page Submit,6,
Q31.1,6,"A. Unknown effectiveness, with mixed results across studies"
Q31.2,6,https://www.conservationevidence.com/actions/1524
Q31.3_Click Count,6,2
Q31.3_First Click,6,80.773
Q31.3_Last Click,6,84.47
Q31.3_Page Submit,6,85.996
Q32.1,6,B. Leaving the headlands unfertilized
Q32.2,6,https://www.conservationevidence.com/actions/652
Q32.3_Click Count,6,
Q32.3_First Click,6,
Q32.3_Last Click,6,
Q32.3_Page Submit,6,
Q33.1,6,A. Increased understory biomass
Q33.2,6,https://www.conservationevidence.com/actions/1207
Q33.3_Click Count,6,2
Q33.3_First Click,6,113.603
Q33.3_Last Click,6,117.556
Q33.3_Page Submit,6,118.953
Q34.1,6,D. Creation of corridors for reptile movement and habitat connectivity
Q34.2,6,https://www.conservationevidence.com/actions/3586
Q34.3_Click Count,6,2
Q34.3_First Click,6,172.073
Q34.3_Last Click,6,174.021
Q34.3_Page Submit,6,175.391
Q35.1,6,A. Using shielded 'full cut-off' lights with blinds
Q35.2,6,https://www.conservationevidence.com/actions/3904
Q35.3_Click Count,6,2
Q35.3_First Click,6,133.561
Q35.3_Last Click,6,134.55
Q35.3_Page Submit,6,136.128
Q36.1,6,C. Improved water quality around fish farms
Q36.2,6,https://www.conservationevidence.com/actions/932
Q36.3_Click Count,6,2
Q36.3_First Click,6,112.7
Q36.3_Last Click,6,130.013
Q36.3_Page Submit,6,131.565
Q37.1,6,D. Increase in Sphagnum moss cover
Q37.2,6,https://www.conservationevidence.com/actions/1779
Q37.3_Click Count,6,2
Q37.3_First Click,6,58.845
Q37.3_Last Click,6,62.804
Q37.3_Page Submit,6,64.083
Q38.1,6,C. Increased survival rates of released individuals
Q38.2,6,https://www.conservationevidence.com/actions/2924
Q38.3_Click Count,6,2
Q38.3_First Click,6,181.768
Q38.3_Last Click,6,185.222
Q38.3_Page Submit,6,186.631
Q39.1,6,D. Increase in shrub abundance or cover
Q39.2,6,https://www.conservationevidence.com/actions/1607
Q39.3_Click Count,6,2
Q39.3_First Click,6,167.548
Q39.3_Last Click,6,191.834
Q39.3_Page Submit,6,193.17
Q4.1,6,B. Completely excluding off-road vehicles and livestock grazing using fencing
Q4.2,6,https://www.conservationevidence.com/actions/3502
Q4.3_Click Count,6,3
Q4.3_First Click,6,7.617
Q4.3_Last Click,6,102.486
Q4.3_Page Submit,6,103.844
Q40.1,6,B. Reduced basal area of trees
Q40.2,6,https://www.conservationevidence.com/actions/1722
Q40.3_Click Count,6,2
Q40.3_First Click,6,2272.209
Q40.3_Last Click,6,2277.806
Q40.3_Page Submit,6,2279.71
Q41.1,6,B. Increased combined macroalgae and invertebrate species diversity
Q41.2,6,https://www.conservationevidence.com/actions/3448
Q41.3_Click Count,6,2
Q41.3_First Click,6,106.033
Q41.3_Last Click,6,109.471
Q41.3_Page Submit,6,110.684
Q42.1,6,A. Increased activity levels and tool use
Q42.2,6,https://www.conservationevidence.com/actions/1320
Q42.3_Click Count,6,2
Q42.3_First Click,6,66.886
Q42.3_Last Click,6,70.997
Q42.3_Page Submit,6,72.251
Q43.1,6,B. Increased weed abundance
Q43.2,6,https://www.conservationevidence.com/actions/126
Q43.3_Click Count,6,2
Q43.3_First Click,6,134.691
Q43.3_Last Click,6,236.776
Q43.3_Page Submit,6,237.996
Q44.1,6,"C. The effectiveness of traditional orchards for bird conservation is currently unknown, with limited evidence showing no clear benefits"
Q44.2,6,https://www.conservationevidence.com/actions/240
Q44.3_Click Count,6,2
Q44.3_First Click,6,48.46
Q44.3_Last Click,6,99.084
Q44.3_Page Submit,6,100.574
Q45.1,6,C. Planting patches of native flowering plants within orchards
Q45.2,6,https://www.conservationevidence.com/actions/17
Q45.3_Click Count,6,2
Q45.3_First Click,6,183.202
Q45.3_Last Click,6,186.94
Q45.3_Page Submit,6,188.622
Q46.1,6,A. Retaining forested corridors with emphasis on their edge habitats
Q46.2,6,https://www.conservationevidence.com/actions/996
Q46.3_Click Count,6,
Q46.3_First Click,6,
Q46.3_Last Click,6,
Q46.3_Page Submit,6,
Q47.1,6,C. The devices were ineffective in deterring any of the studied species from roads
Q47.2,6,https://www.conservationevidence.com/actions/2606
Q47.3_Click Count,6,2
Q47.3_First Click,6,68.846
Q47.3_Last Click,6,69.943
Q47.3_Page Submit,6,71.61
Q48.1,6,B. Enhancing physical barriers around bomas
Q48.2,6,https://www.conservationevidence.com/actions/2415
Q48.3_Click Count,6,2
Q48.3_First Click,6,486.365
Q48.3_Last Click,6,487.73
Q48.3_Page Submit,6,521.034
Q5.1,6,D. Increased mobile invertebrate abundance on structure surfaces
Q5.2,6,https://www.conservationevidence.com/actions/3468
Q5.3_Click Count,6,2
Q5.3_First Click,6,120.417
Q5.3_Last Click,6,127.043
Q5.3_Page Submit,6,128.686
Q6.1,6,B. Colonization by macroalgae and limpets
Q6.2,6,https://www.conservationevidence.com/actions/3435
Q6.3_Click Count,6,2
Q6.3_First Click,6,86.074
Q6.3_Last Click,6,91.378
Q6.3_Page Submit,6,93.011
Q7.1,6,A. Higher plant species richness
Q7.2,6,https://www.conservationevidence.com/actions/3400
Q7.3_Click Count,6,2
Q7.3_First Click,6,528.722
Q7.3_Last Click,6,562.165
Q7.3_Page Submit,6,564.028
Q8.1,6,B. Maintain the vegetation as scrub
Q8.2,6,https://www.conservationevidence.com/actions/31
Q8.3_Click Count,6,
Q8.3_First Click,6,
Q8.3_Last Click,6,
Q8.3_Page Submit,6,
Q9.1,6,D. Increased plant species richness
Q9.2,6,https://www.conservationevidence.com/actions/3027
Q9.3_Click Count,6,2
Q9.3_First Click,6,58.726
Q9.3_Last Click,6,78.456
Q9.3_Page Submit,6,79.664
